sentences_ref,words_ref,sentences_intro,words_intro,sentences_mat,words_mat,sentences_conc,words_conc
8,130,29,713,38,686,139,2895
14,259,22,587,31,665,75,1832
16,205,11,315,29,664,74,1550
9,165,33,629,30,742,373,1796
5,88,12,205,46,781,141,2772
9,227,22,582,73,1333,60,1306
6,143,32,1008,160,1465,113,2747
11,210,18,438,48,858,54,1495
10,252,26,669,42,551,169,2510
9,223,17,454,39,670,300,4657
9,216,7,152,51,1277,102,1834
13,270,17,363,63,1560,128,2783
9,203,23,534,21,398,106,2600
7,187,26,726,47,833,93,2407
8,152,15,429,37,753,45,1237
13,214,11,332,22,410,85,2253
10,242,23,613,43,888,259,2829
8,184,13,323,18,286,29,531
11,243,16,440,58,1292,54,1520
13,136,44,638,66,1141,171,2360
9,165,35,742,26,483,61,1431
13,307,20,519,79,1331,112,2602
8,154,23,493,48,866,87,2239
11,261,20,495,34,507,76,1804
9,129,49,1115,82,1618,77,1533
9,205,14,404,15,253,59,1674
14,305,25,677,13,222,104,1930
9,208,56,1347,89,1616,237,3133
13,221,21,542,33,660,46,1293
13,254,16,418,38,728,81,1724
11,214,13,345,12,177,30,654
9,172,24,651,57,1000,162,3476
18,276,15,379,37,676,71,1655
13,236,12,339,36,683,54,1245
11,215,35,774,53,976,155,3804
9,200,15,415,76,1480,161,2693
8,152,18,416,171,2764,121,3040
23,244,16,291,37,869,86,1321
9,179,12,239,162,1666,102,2355
21,237,6,78,35,632,58,1148
13,272,32,779,64,1435,40,1161
9,154,39,876,41,741,229,3786
13,230,2,35,5,53,83,1443
13,265,29,745,45,767,52,1456
21,287,14,331,29,632,61,1344
11,208,33,793,49,927,176,3307
6,107,14,333,40,664,44,1076
13,313,15,483,56,1067,102,2911
13,223,27,552,82,1329,196,3540
9,209,30,766,47,1208,69,1518
12,255,29,728,38,824,452,2473
39,348,21,423,47,1099,136,2028
8,149,30,815,5,58,64,1851
11,274,23,790,29,469,51,2096
15,374,30,626,57,1045,169,3756
6,150,16,425,26,587,29,826
20,474,24,568,77,1505,87,2084
7,148,23,499,148,2849,83,381
13,251,6,159,10,137,41,892
13,259,23,395,68,1058,77,1472
12,252,15,387,36,767,65,1578
11,252,14,371,129,2852,6,89
7,138,29,742,120,2815,252,5044
37,240,16,349,38,716,74,1242
11,185,55,1160,22,337,277,3517
10,207,23,604,100,1748,216,4671
17,239,16,442,54,1194,200,4386
6,161,23,697,72,1556,127,2644
14,198,21,500,102,1893,81,1860
8,144,34,732,30,548,85,2056
9,198,34,774,48,732,134,2702
10,255,81,2731,3,76,73,1540
11,190,10,297,73,1188,109,1954
12,311,61,2088,31,984,61,2009
11,284,36,936,57,1006,110,2319
9,247,17,487,31,687,165,1456
12,242,21,529,38,563,123,2053
23,255,22,366,76,1784,74,1840
23,300,13,340,87,1920,11,334
7,162,24,546,32,497,43,1246
13,243,22,505,36,419,32,919
12,237,20,416,27,453,13,321
11,234,26,583,71,1375,118,2608
9,164,21,532,2,12,18,485
8,154,47,1217,74,1252,269,3202
10,210,18,355,31,507,50,821
12,282,16,340,37,798,45,1291
14,226,29,618,41,718,33,817
11,234,33,746,69,1892,67,1454
8,186,29,750,42,986,160,2244
19,230,20,437,7,86,73,1514
10,140,3,40,3,30,131,2580
16,236,13,286,50,1020,127,2300
19,347,18,426,67,1246,214,2834
9,257,26,727,64,1161,66,1626
9,272,12,331,22,315,38,1104
8,155,20,383,31,371,127,3031
9,225,15,417,75,1496,127,3356
15,214,11,288,95,1589,149,2251
9,144,40,922,64,1304,66,1506
11,241,15,443,8,174,50,1203
17,238,18,374,59,1039,478,2346
10,202,33,766,39,733,143,3425
16,253,31,647,48,1181,302,2736
21,249,27,627,29,500,105,2274
7,173,19,549,31,513,75,2093
14,236,13,291,22,427,74,1309
12,255,14,337,43,809,121,2632
12,262,20,414,49,802,53,1141
12,246,28,759,57,1104,94,2275
17,240,15,496,120,2778,112,1270
10,217,21,566,68,1007,88,1828
9,210,33,814,102,1693,258,6061
11,195,31,598,91,1677,64,1483
14,261,35,758,175,2548,178,3971
21,229,22,448,28,568,53,981
8,206,17,489,39,467,42,1252
11,246,27,790,31,581,60,1317
9,220,35,873,48,869,85,1825
13,273,19,550,41,964,335,2151
9,216,14,341,37,815,83,2125
9,193,11,299,30,548,74,1570
15,230,22,582,63,1040,159,3274
7,173,23,472,26,439,42,899
10,264,24,753,68,1393,145,4016
1,1,11,250,30,711,59,1181
10,204,19,375,40,751,104,2956
11,232,26,744,63,1419,62,2531
6,135,19,349,202,3319,42,449
7,153,22,614,28,607,100,2164
12,175,41,812,60,1196,40,647
16,260,31,649,13,169,112,2575
17,206,34,581,23,370,70,1075
12,252,29,626,63,1196,102,1738
24,268,18,347,24,285,82,1573
7,179,48,1369,34,757,316,5319
22,254,29,515,64,1166,7,133
12,268,26,688,43,854,100,2065
9,206,24,644,69,1312,72,1851
7,152,28,727,2,17,87,2484
14,248,27,514,77,1023,28,508
1,1,28,723,39,650,71,1762
14,258,19,508,65,1062,159,4310
14,206,30,523,51,838,102,1897
11,233,13,359,60,1105,193,2992
21,255,19,407,151,2105,12,240
6,202,13,419,20,369,54,1790
9,176,23,500,35,612,122,3028
6,94,21,406,57,1005,98,2198
8,190,17,383,56,858,111,2891
16,261,20,480,66,1219,124,2839
10,246,20,524,43,826,67,1801
9,203,12,312,54,935,84,1660
27,231,11,258,40,806,75,1206
8,173,32,644,27,497,138,2999
13,280,13,311,42,845,45,1295
20,248,10,190,23,534,114,1824
10,231,29,693,38,878,55,1421
10,240,20,503,28,519,55,1664
11,242,18,540,71,1688,69,1565
12,284,22,481,63,1059,65,1309
6,187,16,371,71,1211,158,3028
9,206,18,461,66,1622,81,1717
19,267,18,383,34,512,74,1567
17,225,21,463,37,934,124,2088
11,250,2,28,5,61,28,827
11,228,32,747,95,1581,179,3026
11,239,20,556,59,1234,113,2125
11,185,30,616,41,847,21,389
14,260,24,536,11,165,85,1928
10,261,34,948,53,1031,56,1656
8,152,29,612,28,405,96,2149
11,253,13,375,88,1524,129,3510
10,246,26,708,29,600,123,3084
11,219,8,152,50,685,325,3653
10,185,1,1,55,708,139,2676
8,214,31,752,22,457,278,4687
6,119,30,826,42,699,70,1597
10,200,27,615,59,896,54,1279
8,201,33,761,51,958,87,2072
10,191,24,423,132,1859,95,2086
7,192,13,290,32,557,85,2093
8,156,21,516,191,2952,210,4700
5,115,21,409,95,2253,110,2247
9,208,50,1351,110,2401,49,927
7,153,41,935,60,1059,132,4482
20,213,13,234,30,548,64,1266
10,157,9,267,27,632,98,1969
10,173,17,374,56,1152,77,1492
10,228,15,567,41,671,127,2793
20,256,28,429,42,767,167,2840
9,171,17,420,18,400,88,1636
7,183,9,165,60,1582,151,2743
11,242,35,959,74,1593,205,2349
11,175,22,515,31,650,106,1952
7,135,43,944,73,1102,99,2267
10,228,25,592,64,978,44,1224
10,175,23,635,25,696,199,5523
17,221,18,458,52,962,74,1633
4,73,21,622,74,1716,35,716
13,212,28,769,131,2344,9,159
9,208,27,763,77,1164,101,2628
16,261,17,409,35,495,114,2063
11,249,28,619,33,672,174,4151
5,107,46,975,90,2018,191,870
9,246,23,501,75,1386,171,1877
15,282,22,603,79,1517,82,1899
7,154,12,379,22,539,63,1777
6,169,36,995,319,5563,101,3031
10,230,22,576,47,805,96,2459
28,216,35,768,46,893,104,1256
9,246,14,398,93,2120,268,5875
11,195,17,432,119,2176,101,2251
10,190,38,928,53,1302,168,2600
12,264,13,287,22,305,97,2063
14,226,27,560,86,1548,307,6032
7,209,16,482,33,665,7,204
18,236,29,349,52,828,101,1918
12,192,16,335,83,1282,229,3329
18,201,14,318,51,1082,95,1608
7,122,36,574,59,1028,222,2625
8,183,22,616,52,981,113,2789
6,162,35,842,59,916,117,3077
11,243,19,462,45,872,137,2244
10,225,15,387,73,1394,162,2754
14,286,27,461,58,1039,31,654
15,255,20,351,77,1488,122,2619
11,259,23,661,93,1609,146,3070
17,249,20,640,68,1186,265,2019
8,198,21,510,3,9,59,1793
6,148,30,569,52,686,129,2860
10,208,15,315,47,951,285,6331
12,241,27,533,50,1213,51,1386
8,124,36,646,34,622,306,5808
1,1,3,66,15,261,181,750
10,225,31,787,3,46,66,1730
7,154,15,331,40,641,50,965
13,225,17,435,49,1031,120,2384
10,220,17,522,87,1705,58,1629
8,218,28,604,68,859,135,2005
29,283,13,373,154,3343,214,2964
8,242,19,515,43,814,159,4401
17,249,21,486,62,1112,65,1366
9,163,29,672,30,555,76,1704
7,124,31,626,70,1013,62,1207
10,234,32,876,75,1377,149,3164
10,242,23,667,66,1302,70,1818
13,250,4,74,4,52,58,1180
8,147,42,1058,75,1364,78,1827
15,257,16,489,51,1073,226,2884
13,292,23,624,29,604,62,1660
12,241,15,332,81,1615,123,2254
9,261,15,450,33,736,91,2761
9,164,42,834,56,1066,41,792
15,255,27,706,48,1112,101,2066
10,224,43,1040,15,319,82,2115
11,124,51,1268,74,1537,263,3164
18,252,17,382,62,1089,214,1967
13,201,27,691,29,471,193,3726
14,243,17,447,96,1841,110,2009
15,274,15,334,39,823,109,2198
14,173,23,443,28,451,38,705
1,1,13,371,63,1651,48,1123
9,198,25,556,57,899,71,1559
17,196,11,250,60,1015,171,1545
15,300,35,601,40,743,182,3224
7,127,20,410,107,2072,85,2108
12,254,17,362,88,1299,172,2939
